offer_title,price,price_per_meter,offer_type,floor,area,rooms,offer_type_of_building,market,city_name,voivodeship,month,year,population,longitude,latitude
Mieszkanie Kawalerka ostatnia na parterze.,326000,12844.76,Estate Agency,0,25.38,1,Housing Block,primary,Warszawa,Masovia,January,2022,1744351,21.0067249,52.2319581
Apartamenty na Cyprze PĂłĹ‚nocnym Brak prowizji,300000,10000,Estate Agency,,,1,,primary,Warszawa,Masovia,January,2022,1744351,21.0067249,52.2319581
"Kawalerka z balkonem, Osiedle Winnica",430000,13437.5,Estate Agency,,,1,,primary,Warszawa,Masovia,January,2022,1744351,21.0067249,52.2319581
"ODEBRANE ! 1-pokojowe z tarasem i ogrĂłdkiem, ul. Marywilska",349000,11107.57,Private,0,31.42,1,Apartment Building,primary,Warszawa,Masovia,January,2022,1744351,21.0067249,52.2319581
Mieszkanie na sprzedaz,345000,10781.25,Private,1,32,1,Housing Block,primary,Warszawa,Masovia,January,2022,1744351,21.0067249,52.2319581
"Mieszkanie / kawalerka 32,26 m2, bezczynszowe",349000,10818.35,Estate Agency,0,32.26,1,Other,primary,ZÄ…bki,Masovia,January,2022,31884,21.1157408,52.2934961
"Mieszkanie/kawalerka 25,5 mkw z ogrĂłdkiem, zÄ…bki, bezczynszowe",370000,10422.54,Estate Agency,0,35.5,1,Housing Block,primary,ZÄ…bki,Masovia,January,2022,31884,21.1157408,52.2934961
NOWA INWESTYCJA Ĺ»yrardĂłw Apartamenty Rumiankowa,202170,6900,Estate Agency,1,29.3,1,Housing Block,primary,Ĺ»yrardĂłw,Masovia,January,2022,41096,20.4435009,52.0543308
REZERWACJA Sprzedam Mieszkanie,78000,3513.51,Private,1,22.2,1,Housing Block,primary,GĹ‚ubczyce,Opole,January,2022,12888,17.8293199,50.2000941
Kawalerka Rynek Niskie koszty! W peĹ‚ni wyposaĹĽone! Idealna na booking!,91000,4550,Private,1,20,1,Tenement,primary,GĹ‚uchoĹ‚azy,Opole,January,2022,14257,17.3833809,50.3170828
Mieszkanie z Balkonem  Nysa,279000,8370.84,Private,1,33.33,1,Housing Block,primary,Nysa,Opole,January,2022,44899,17.3324733,50.4738029
Sprzedam mieszkanie ul. NiemodliĹ„ska,239000,7242.42,Private,0,33,1,Housing Block,primary,Opole,Opole,January,2022,120146,17.9236408,50.6668184
Kawalerka DostÄ™pna Za Rok Stan Deweloperski 219 000 zĹ‚,219000,7810.27,Private,3,28.04,1,Housing Block,primary,RzeszĂłw,Subcarpathia,January,2022,187422,22.0047174,50.0374531
"Sprzedam najtaĹ„sze nowe mieszkanie, 45 m2, oddanie juĹĽ w kwietniu!",316000,7022.22,Private,1,45,1,Apartment Building,primary,BiaĹ‚ystok,Podlaskie,January,2022,295459,23.1591679,53.132398
"OdstÄ…piÄ™ spĂłĹ‚dzielcze prawo do lokalu przy ul. Pastelowej, GdaĹ„sk",80736,2546.07,Private,3,31.71,1,Housing Block,primary,GdaĹ„sk,Pomerania,January,2022,461935,18.6540231,54.3482908
Apartamenty PREMIUM-rĂłĹĽne powierzchnie .Brak prowizji dla biura.,580000,7593.61,Estate Agency,2,76.38,1,Apartment Building,primary,GdaĹ„sk,Pomerania,January,2022,461935,18.6540231,54.3482908
mieszkanie kawalerka,160000,5000,Private,1,32,1,Housing Block,primary,Malbork,Pomerania,January,2022,39022,19.0348817,54.0359361
"Apartament wakacyjny z ogrĂłdkiem (33 m2), 50 metrĂłw od plaĹĽy",391242,14517.33,Estate Agency,0,26.95,1,Apartment Building,primary,Puck,Pomerania,January,2022,11396,18.411338,54.7203995
Sprzedam KawalerkÄ™ - Sopot,410000,16400,Private,3,25,1,Tenement,primary,Sopot,Pomerania,January,2022,37903,18.5684902,54.4447922
Apartament  kawalerka 26m2 Ĺ›ciĹ›le centrum,225000,8653.85,Estate Agency,3,26,1,Tenement,primary,SĹ‚upsk,Pomerania,January,2022,93936,17.028073,54.4649331
"35,59 m2 - pokĂłj,kuchnia,balkon,piwnica,miejsce postojowe w cenie",291838,7308.74,Estate Agency,1,39.93,1,Apartment Building,primary,SĹ‚upsk,Pomerania,January,2022,93936,17.028073,54.4649331
"Apartamenty ,,AQUARIUS BALTICO""- nowoczesny design 150m od Morza",617115,12739.78,Estate Agency,3,48.44,1,Apartment Building,primary,Ustka,Pomerania,January,2022,16263,16.8612962,54.5811254
Piekny apartament w BuĹ‚garii,195000,3979.59,Private,9,49,1,Apartment Building,primary,Bielsko-BiaĹ‚a,Silesia,January,2022,173699,19.0448936,49.822118
"Nowe mieszkania w Bieruniu ! 25,75 m2, kawalerka , I piÄ™tro B103",155000,6019.42,Estate Agency,1,25.75,1,Housing Block,primary,BieruĹ„,Silesia,January,2022,19696,19.0918262,50.0931922
Mieszkanie / Kawalerka 32m2 przy Parku ĹšlÄ…skim!,298589,9539.58,Private,4,31.3,1,Apartment Building,primary,ChorzĂłw,Silesia,January,2022,110761,18.9544466,50.2978791
Sprzedam ogrĂłdek ChorzĂłw,55000,177.42,Private,,,1,,primary,ChorzĂłw,Silesia,January,2022,110761,18.9544466,50.2978791
Mieszkanie  Private  Po Remoncie  Umeblowane Zobacz,239000,6638.89,Estate Agency,2,36,1,Housing Block,primary,CzÄ™stochowa,Silesia,January,2022,232318,19.113213,50.8120466
BezpoĹ›rednio/Kawalerka 33m2/GoĹ‚onĂłg,208000,6303.03,Private,4,33,1,Housing Block,primary,DÄ…browa GĂłrnicza,Silesia,January,2022,123994,19.2078918,50.3308692
Mieszkanie Kawalerka DÄ…browa GĂłrnicza,163000,5699.3,Private,1,28.6,1,Housing Block,primary,DÄ…browa GĂłrnicza,Silesia,January,2022,123994,19.2078918,50.3308692
Kawalerka GLIVIA / Balkon / Bezczynszowe / Ogrzewanie PODĹOGOWE,276612,8900,Estate Agency,2,31.08,1,Apartment Building,primary,Gliwice,Silesia,January,2022,185450,18.6657306,50.294113
KAWALERKA Bezczynszowa / Ogrzewanie PEC / Osiedle GLIVIA / I piÄ™tro,272448,8800,Estate Agency,1,30.96,1,Apartment Building,primary,Gliwice,Silesia,January,2022,185450,18.6657306,50.294113
Studio z balkonem - Apartamenty Poezji III,219000,8016.11,Estate Agency,1,27.32,1,Apartment Building,primary,Gliwice,Silesia,January,2022,185450,18.6657306,50.294113
Ostatnia gotowa kawalerka z balkonem przy Politechnice Silesiaj,194000,10777.78,Estate Agency,1,18,1,Apartment Building,primary,Gliwice,Silesia,January,2022,185450,18.6657306,50.294113
Kawalerka w centrum z widokiem na Gliwice Taras 12m2,180900,10408.52,Estate Agency,7,17.38,1,Apartment Building,primary,Gliwice,Silesia,January,2022,185450,18.6657306,50.294113
"PiÄ™knie doĹ›wietlona kawalerka z klimatyzacjÄ…, samo centrum Katowic",324351.59,10920.93,Estate Agency,4,29.7,1,Tenement,primary,Katowice,Silesia,January,2022,304362,19.0215852,50.2598987
Kawalerka z klimatyzacjÄ… w samym centrum Katowic. HOUSE PACK,286033.01,9449.39,Estate Agency,1,30.27,1,Tenement,primary,Katowice,Silesia,January,2022,304362,19.0215852,50.2598987
Kawalerka w odnowionej piÄ™knej kamienicy w samym centrum Katowic!,296255.69,9974.94,Estate Agency,1,29.7,1,Tenement,primary,Katowice,Silesia,January,2022,304362,19.0215852,50.2598987
"Nowy Apartament 34,5 m2 Taras 8 m2 Katowice !",399900,11591.3,Estate Agency,1,34.5,1,Apartment Building,primary,Katowice,Silesia,January,2022,304362,19.0215852,50.2598987
Sprzedam kawalerke,99000,5183.25,Estate Agency,3,19.1,1,Housing Block,primary,RyduĹ‚towy,Silesia,January,2022,21847,18.4171831,50.058436
Ostatnia Kawalerka na ZachĂłd-APARTAMENTY NA WZGĂ“RZU,197960,7613.85,Estate Agency,0,26,1,Apartment Building,primary,Sosnowiec,Silesia,January,2022,211275,19.1342944,50.2780834
Mieszkanie M 2 moĹĽliwa zamiana,240000,6857.14,Private,0,35,1,Housing Block,primary,Zawiercie,Silesia,January,2022,51258,19.4333887,50.4844179
"Nowa kawalerka, Bocianek I piÄ™tro, duĹĽy balkon",231985,8300,Estate Agency,1,27.95,1,Apartment Building,primary,Kielce,Świętokrzyskie,January,2022,187374,20.6310488,50.8719903
Nowa kawalerka z widokiem na DolinÄ™ Silnicy,246000,9223.85,Estate Agency,0,26.67,1,Apartment Building,primary,Kielce,Świętokrzyskie,January,2022,187374,20.6310488,50.8719903
mieszkanie na sprzedaz,160000,5000,Private,0,32,1,Housing Block,primary,Dobre Miasto,Warmia-Masuria,January,2022,10599,20.3973402,53.9868899
NOWA kawalerka Jaroty,295000,10715.58,Private,2,27.53,1,Housing Block,primary,Olsztyn,Warmia-Masuria,January,2022,174675,20.476507,53.7766839
Sprzedam mieszkanie  Belweder Olsztyn,299000,8542.86,Private,1,35,1,Apartment Building,primary,Olsztyn,Warmia-Masuria,January,2022,174675,20.476507,53.7766839
"Nowa inwestycja! Komfortowe mieszkania - Leszno, ul. Nowy Rynek",166790,6500,Estate Agency,2,25.66,1,Apartment Building,primary,Leszno,Greater Poland,January,2022,64589,16.5744141,51.8436498
"Kawalerka z balkonem, blisko centrum i przy lesie!",171000,7779.8,Estate Agency,1,21.98,1,Housing Block,primary,PoznaĹ„,Greater Poland,January,2022,548028,16.9335199,52.4082663
Mieszkanie w centrum Poznania,1600,42.11,Private,3,38,1,Housing Block,primary,PoznaĹ„,Greater Poland,January,2022,548028,16.9335199,52.4082663
Nowe mieszkanie 30m2,329000,10966.67,Private,2,30,1,Housing Block,primary,PoznaĹ„,Greater Poland,January,2022,548028,16.9335199,52.4082663
sprzedam mieszkanie  36 m w Bornym Sulinowie w centrum bez poĹ›rednikĂłw,157500,4375,Private,,,1,,primary,Borne Sulinowo,West Pomerania,January,2022,4905,16.538117,53.5812939
Zielone Tarasy Wygodny Apartamet w Dobrej Cenie,460000,15333.33,Estate Agency,4,30,1,Apartment Building,primary,KoĹ‚obrzeg,West Pomerania,January,2022,44980,15.5764209,54.1759614
INFINITY MiÄ™dzyzdroje molo apartament na plaĹĽy z widokiem na morze,700000,26697.18,Private,2,26.22,1,Apartment Building,primary,MiÄ™dzyzdroje,West Pomerania,January,2022,5485,14.448903,53.9282745
"Kawalerka w apartamentowcu, Basen !!!",300000,12500,Estate Agency,3,24,1,Apartment Building,primary,Szczecin,West Pomerania,January,2022,402465,14.5509623,53.4301818
"Adaptacja poddasza 57,92 m2 z antresolÄ… przy BolesĹ‚awa ĹšmiaĹ‚ego",359000,6198.2,Estate Agency,4,57.92,1,Tenement,primary,Szczecin,West Pomerania,January,2022,402465,14.5509623,53.4301818
"Adaptacja poddasza 44,68 m2 z antresolÄ… przy BolesĹ‚awa ĹšmiaĹ‚ego",283000,6333.93,Estate Agency,4,44.68,1,Tenement,primary,Szczecin,West Pomerania,January,2022,402465,14.5509623,53.4301818
"Adaptacja poddasza 55,47 m2 z antresolÄ… przy BolesĹ‚awa ĹšmiaĹ‚ego",355000,6399.86,Estate Agency,4,55.47,1,Tenement,primary,Szczecin,West Pomerania,January,2022,402465,14.5509623,53.4301818
"Adaptacja poddasza 52,39 m2 z antresolÄ… przy BolesĹ‚awa ĹšmiaĹ‚ego",345000,6585.23,Estate Agency,4,52.39,1,Tenement,primary,Szczecin,West Pomerania,January,2022,402465,14.5509623,53.4301818
"Adaptacja poddasza 57,18 m2 z antresolÄ… przy BolesĹ‚awa ĹšmiaĹ‚ego",365000,6383.35,Estate Agency,4,57.18,1,Tenement,primary,Szczecin,West Pomerania,January,2022,402465,14.5509623,53.4301818
"""LeĹ›niczĂłwka"" - nowe mieszkania na sprzedaĹĽ",5500,5500,Estate Agency,3,1,1,Housing Block,primary,Ĺšwidwin,West Pomerania,January,2022,15725,15.7773514,53.7747044
"Nowe Mieszkanie, Os. SĹ‚owiaĹ„skie, 57.52 m2 + ogrĂłd 207 m2 + 2 parkingi",364500,6336.93,Estate Agency,0,57.52,2,Apartment Building,primary,Jawor,Lower Silesia,January,2022,22758,16.1932008,51.0504653
Mieszkanie wĹ‚asnoĹ›ciowe,150000,3333.33,Private,2,45,2,Tenement,primary,Kamienna GĂłra,Lower Silesia,January,2022,20014,16.0336631,50.7837361
Mieszkanie 2 pokojowe,369000,6473.68,Estate Agency,0,57,2,Apartment Building,primary,Karpacz,Lower Silesia,January,2022,4570,15.7542035,50.7747485
Apartament Karkonoskie Szczyty Karpacz Sauna 0%,380112,11518.55,Estate Agency,1,33,2,Apartment Building,primary,Karpacz,Lower Silesia,January,2022,4570,15.7542035,50.7747485
Idealne mieszkanie pod inwestycjÄ™,226572,7900,Estate Agency,3,28.68,2,Apartment Building,primary,Legnica,Lower Silesia,January,2022,99752,16.1603187,51.2081617
A.12. pierwsze piÄ™tro ul. BielaĹ„ska balkon winda wĂłzkownia piwnice,299289,6700,Estate Agency,1,44.67,2,Apartment Building,primary,Legnica,Lower Silesia,January,2022,99752,16.1603187,51.2081617
"A.21. BielaĹ„ska 10 z balkonem winda piwnice 37,63 m2 dwa pokoje",252121,6700,Estate Agency,3,37.63,2,Apartment Building,primary,Legnica,Lower Silesia,January,2022,99752,16.1603187,51.2081617
